Statistic ; BestFitness ; Generation ; GeneticDiversity ; Individuals ; SelectedGenotypes ; SelectedIndividuals ; SucessRate ; Time ; FunctionCalls
0 ; 8,000000 ; 0,000000 ; 0,989407 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 8,000000 ; 3,000000 ; 0,954903 ; 68,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 534,000000 ; 343,000000 ; 
2 ; 16,000000 ; 6,000000 ; 0,823295 ; 69,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 1159,000000 ; 689,000000 ; 
3 ; 16,000000 ; 9,000000 ; 0,688936 ; 67,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 2101,000000 ; 1027,000000 ; 
4 ; 16,000000 ; 12,000000 ; 0,681256 ; 69,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 2642,000000 ; 1339,000000 ; 
5 ; 24,000000 ; 15,000000 ; 0,649451 ; 70,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 2935,000000 ; 1665,000000 ; 
6 ; 24,000000 ; 18,000000 ; 0,602985 ; 69,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 3305,000000 ; 1993,000000 ; 
7 ; 24,000000 ; 21,000000 ; 0,511194 ; 71,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 3703,000000 ; 2323,000000 ; 
8 ; 32,000000 ; 24,000000 ; 0,466113 ; 65,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 3984,000000 ; 2668,000000 ; 
9 ; 32,000000 ; 27,000000 ; 0,455563 ; 66,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 4190,000000 ; 2997,000000 ; 
10 ; 32,000000 ; 30,000000 ; 0,433452 ; 71,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 4490,000000 ; 3327,000000 ; 
11 ; 40,000000 ; 33,000000 ; 0,395622 ; 64,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 4702,000000 ; 3665,000000 ; 
12 ; 40,000000 ; 36,000000 ; 0,398468 ; 69,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 4874,000000 ; 3990,000000 ; 
13 ; 40,000000 ; 39,000000 ; 0,334272 ; 71,000000 ; 45,000000 ; 128,000000 ; 0,000000 ; 5061,000000 ; 4320,000000 ; 
14 ; 40,000000 ; 42,000000 ; 0,298489 ; 65,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 5222,000000 ; 4656,000000 ; 
15 ; 40,000000 ; 45,000000 ; 0,315872 ; 69,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 5410,000000 ; 4998,000000 ; 
16 ; 40,000000 ; 48,000000 ; 0,332732 ; 65,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 5581,000000 ; 5333,000000 ; 
17 ; 40,000000 ; 51,000000 ; 0,354670 ; 69,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 5738,000000 ; 5657,000000 ; 
18 ; 40,000000 ; 54,000000 ; 0,350614 ; 69,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 5863,000000 ; 5988,000000 ; 
19 ; 40,000000 ; 57,000000 ; 0,369494 ; 68,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 6035,000000 ; 6322,000000 ; 
20 ; 40,000000 ; 60,000000 ; 0,399048 ; 73,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 6182,000000 ; 6659,000000 ; 
21 ; 40,000000 ; 63,000000 ; 0,402674 ; 71,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 6338,000000 ; 6994,000000 ; 
22 ; 48,000000 ; 66,000000 ; 0,412858 ; 65,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 6478,000000 ; 7333,000000 ; 
23 ; 48,000000 ; 69,000000 ; 0,422095 ; 69,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 6635,000000 ; 7657,000000 ; 
