Statistic ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
0 ; 0,000000 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 1,000000 ; 66,000000 ; 0,000000 ; 0,000000 ; 115,000000 ; 
2 ; 2,000000 ; 68,000000 ; 0,000000 ; 937,000000 ; 234,000000 ; 
3 ; 3,000000 ; 66,000000 ; 0,000000 ; 1719,000000 ; 348,000000 ; 
4 ; 4,000000 ; 69,000000 ; 0,000000 ; 2484,000000 ; 460,000000 ; 
5 ; 5,000000 ; 68,000000 ; 0,000000 ; 2655,000000 ; 576,000000 ; 
6 ; 6,000000 ; 67,000000 ; 0,000000 ; 3297,000000 ; 688,000000 ; 
7 ; 7,000000 ; 68,000000 ; 0,000000 ; 3757,000000 ; 798,000000 ; 
8 ; 8,000000 ; 67,000000 ; 0,000000 ; 3991,000000 ; 912,000000 ; 
9 ; 9,000000 ; 72,000000 ; 0,000000 ; 4277,000000 ; 1018,000000 ; 
10 ; 10,000000 ; 73,000000 ; 0,000000 ; 4449,000000 ; 1123,000000 ; 
11 ; 11,000000 ; 69,000000 ; 0,000000 ; 4808,000000 ; 1229,000000 ; 
12 ; 12,000000 ; 68,000000 ; 0,000000 ; 5340,000000 ; 1335,000000 ; 
13 ; 13,000000 ; 67,000000 ; 0,000000 ; 5590,000000 ; 1444,000000 ; 
14 ; 14,000000 ; 72,000000 ; 0,000000 ; 5840,000000 ; 1559,000000 ; 
15 ; 15,000000 ; 66,000000 ; 0,000000 ; 6152,000000 ; 1671,000000 ; 
16 ; 16,000000 ; 71,000000 ; 0,000000 ; 6496,000000 ; 1775,000000 ; 
17 ; 17,000000 ; 65,000000 ; 0,000000 ; 6746,000000 ; 1886,000000 ; 
18 ; 18,000000 ; 67,000000 ; 0,000000 ; 7071,000000 ; 1996,000000 ; 
19 ; 19,000000 ; 69,000000 ; 0,000000 ; 7524,000000 ; 2102,000000 ; 
20 ; 20,000000 ; 75,000000 ; 0,000000 ; 7862,000000 ; 2207,000000 ; 
21 ; 21,000000 ; 70,000000 ; 0,000000 ; 8128,000000 ; 2321,000000 ; 
22 ; 22,000000 ; 75,000000 ; 0,000000 ; 8409,000000 ; 2431,000000 ; 
23 ; 23,000000 ; 72,000000 ; 0,000000 ; 8644,000000 ; 2548,000000 ; 
24 ; 24,000000 ; 68,000000 ; 0,000000 ; 8847,000000 ; 2666,000000 ; 
25 ; 25,000000 ; 68,000000 ; 0,000000 ; 9144,000000 ; 2772,000000 ; 
26 ; 26,000000 ; 68,000000 ; 0,000000 ; 9628,000000 ; 2884,000000 ; 
27 ; 27,000000 ; 72,000000 ; 0,000000 ; 9757,000000 ; 2992,000000 ; 
28 ; 28,000000 ; 69,000000 ; 0,000000 ; 10226,000000 ; 3108,000000 ; 
29 ; 29,000000 ; 69,000000 ; 0,000000 ; 10445,000000 ; 3218,000000 ; 
30 ; 30,000000 ; 68,000000 ; 0,000000 ; 10648,000000 ; 3335,000000 ; 
31 ; 31,000000 ; 66,000000 ; 0,000000 ; 10943,000000 ; 3438,000000 ; 
32 ; 32,000000 ; 74,000000 ; 0,000000 ; 11209,000000 ; 3535,000000 ; 
33 ; 33,000000 ; 72,000000 ; 0,000000 ; 11646,000000 ; 3645,000000 ; 
34 ; 34,000000 ; 71,000000 ; 0,000000 ; 11896,000000 ; 3756,000000 ; 
35 ; 35,000000 ; 74,000000 ; 0,000000 ; 12068,000000 ; 3863,000000 ; 
36 ; 36,000000 ; 71,000000 ; 0,000000 ; 12349,000000 ; 3976,000000 ; 
37 ; 37,000000 ; 68,000000 ; 0,000000 ; 12771,000000 ; 4082,000000 ; 
38 ; 38,000000 ; 75,000000 ; 0,000000 ; 12927,000000 ; 4186,000000 ; 
39 ; 39,000000 ; 75,000000 ; 0,000000 ; 13236,000000 ; 4296,000000 ; 
40 ; 40,000000 ; 74,000000 ; 0,000000 ; 13567,000000 ; 4410,000000 ; 
41 ; 41,000000 ; 69,000000 ; 0,000000 ; 13989,000000 ; 4519,000000 ; 
42 ; 42,000000 ; 68,000000 ; 0,000000 ; 14223,000000 ; 4629,000000 ; 
43 ; 43,000000 ; 72,000000 ; 0,000000 ; 14408,000000 ; 4738,000000 ; 
44 ; 44,000000 ; 71,000000 ; 0,000000 ; 14711,000000 ; 4850,000000 ; 
45 ; 45,000000 ; 77,000000 ; 0,000000 ; 14994,000000 ; 4958,000000 ; 
46 ; 46,000000 ; 76,000000 ; 0,000000 ; 15297,000000 ; 5070,000000 ; 
47 ; 47,000000 ; 87,000000 ; 0,000000 ; 15563,000000 ; 5162,000000 ; 
