Statistic ; BestFitness ; Generation ; GeneticDiversity ; Individuals ; SelectedGenotypes ; SelectedIndividuals ; SucessRate ; Time ; FunctionCalls
0 ; 8,000000 ; 0,000000 ; 0,987208 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 8,000000 ; 3,000000 ; 0,955634 ; 67,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 566,000000 ; 339,000000 ; 
2 ; 16,000000 ; 6,000000 ; 0,901551 ; 67,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 1316,000000 ; 682,000000 ; 
3 ; 24,000000 ; 9,000000 ; 0,859599 ; 66,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 2085,000000 ; 1005,000000 ; 
4 ; 24,000000 ; 12,000000 ; 0,759258 ; 73,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 2517,000000 ; 1330,000000 ; 
5 ; 24,000000 ; 15,000000 ; 0,702771 ; 69,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 2841,000000 ; 1668,000000 ; 
6 ; 24,000000 ; 18,000000 ; 0,695547 ; 68,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 3117,000000 ; 2005,000000 ; 
7 ; 40,000000 ; 21,000000 ; 0,604781 ; 74,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 3610,000000 ; 2345,000000 ; 
8 ; 32,000000 ; 24,000000 ; 0,504059 ; 67,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 3891,000000 ; 2684,000000 ; 
9 ; 32,000000 ; 28,000000 ; 0,394856 ; 68,000000 ; 44,000000 ; 128,000000 ; 0,000000 ; 4182,000000 ; 3125,000000 ; 
10 ; 32,000000 ; 31,000000 ; 0,369325 ; 65,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 4475,000000 ; 3458,000000 ; 
11 ; 40,000000 ; 34,000000 ; 0,377261 ; 66,000000 ; 59,000000 ; 128,000000 ; 0,000000 ; 4702,000000 ; 3789,000000 ; 
12 ; 40,000000 ; 37,000000 ; 0,391447 ; 68,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 4858,000000 ; 4109,000000 ; 
13 ; 40,000000 ; 40,000000 ; 0,361216 ; 70,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 5032,000000 ; 4448,000000 ; 
14 ; 40,000000 ; 43,000000 ; 0,274552 ; 67,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 5222,000000 ; 4773,000000 ; 
15 ; 40,000000 ; 46,000000 ; 0,249536 ; 67,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 5378,000000 ; 5113,000000 ; 
16 ; 48,000000 ; 49,000000 ; 0,278596 ; 66,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 5535,000000 ; 5442,000000 ; 
17 ; 48,000000 ; 53,000000 ; 0,269404 ; 77,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 5722,000000 ; 5882,000000 ; 
18 ; 48,000000 ; 56,000000 ; 0,218580 ; 70,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 5910,000000 ; 6218,000000 ; 
19 ; 48,000000 ; 59,000000 ; 0,194177 ; 71,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 6050,000000 ; 6555,000000 ; 
20 ; 48,000000 ; 62,000000 ; 0,209531 ; 68,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 6197,000000 ; 6885,000000 ; 
21 ; 48,000000 ; 65,000000 ; 0,228608 ; 69,000000 ; 59,000000 ; 128,000000 ; 0,000000 ; 6338,000000 ; 7230,000000 ; 
22 ; 48,000000 ; 68,000000 ; 0,241596 ; 68,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 6494,000000 ; 7561,000000 ; 
23 ; 56,000000 ; 71,000000 ; 0,240577 ; 66,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 6650,000000 ; 7903,000000 ; 
24 ; 56,000000 ; 74,000000 ; 0,259035 ; 72,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 6791,000000 ; 8237,000000 ; 
25 ; 56,000000 ; 78,000000 ; 0,283573 ; 69,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 6994,000000 ; 8684,000000 ; 
26 ; 56,000000 ; 81,000000 ; 0,270785 ; 76,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 7166,000000 ; 9012,000000 ; 
27 ; 56,000000 ; 84,000000 ; 0,247020 ; 75,000000 ; 44,000000 ; 128,000000 ; 0,000000 ; 7322,000000 ; 9339,000000 ; 
28 ; 64,000000 ; 87,000000 ; 0,242645 ; 69,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 7478,000000 ; 9670,000000 ; 
29 ; 64,000000 ; 90,000000 ; 0,245268 ; 69,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 7635,000000 ; 10001,000000 ; 
30 ; 64,000000 ; 93,000000 ; 0,224231 ; 70,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 7760,000000 ; 10335,000000 ; 
31 ; 64,000000 ; 96,000000 ; 0,186667 ; 73,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 8041,000000 ; 10660,000000 ; 
32 ; 64,000000 ; 99,000000 ; 0,193331 ; 75,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 8228,000000 ; 10987,000000 ; 
33 ; 72,000000 ; 103,000000 ; 0,207256 ; 69,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 8457,000000 ; 11415,000000 ; 
34 ; 72,000000 ; 106,000000 ; 0,225309 ; 70,000000 ; 58,000000 ; 128,000000 ; 0,000000 ; 8660,000000 ; 11758,000000 ; 
