Statistic ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
0 ; 0,000000 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 1,000000 ; 68,000000 ; 0,000000 ; 0,000000 ; 113,000000 ; 
2 ; 2,000000 ; 73,000000 ; 0,000000 ; 984,000000 ; 219,000000 ; 
3 ; 3,000000 ; 69,000000 ; 0,000000 ; 1672,000000 ; 335,000000 ; 
4 ; 4,000000 ; 66,000000 ; 0,000000 ; 2547,000000 ; 446,000000 ; 
5 ; 5,000000 ; 71,000000 ; 0,000000 ; 3108,000000 ; 552,000000 ; 
6 ; 6,000000 ; 71,000000 ; 0,000000 ; 3406,000000 ; 654,000000 ; 
7 ; 7,000000 ; 75,000000 ; 0,000000 ; 3975,000000 ; 763,000000 ; 
8 ; 8,000000 ; 71,000000 ; 0,000000 ; 4132,000000 ; 873,000000 ; 
9 ; 9,000000 ; 74,000000 ; 0,000000 ; 4402,000000 ; 979,000000 ; 
10 ; 10,000000 ; 71,000000 ; 0,000000 ; 4855,000000 ; 1093,000000 ; 
11 ; 11,000000 ; 67,000000 ; 0,000000 ; 5183,000000 ; 1206,000000 ; 
12 ; 12,000000 ; 67,000000 ; 0,000000 ; 5480,000000 ; 1316,000000 ; 
13 ; 13,000000 ; 71,000000 ; 0,000000 ; 5730,000000 ; 1420,000000 ; 
14 ; 14,000000 ; 68,000000 ; 0,000000 ; 6105,000000 ; 1524,000000 ; 
15 ; 15,000000 ; 69,000000 ; 0,000000 ; 6527,000000 ; 1637,000000 ; 
16 ; 16,000000 ; 70,000000 ; 0,000000 ; 6730,000000 ; 1740,000000 ; 
17 ; 17,000000 ; 73,000000 ; 0,000000 ; 7199,000000 ; 1850,000000 ; 
18 ; 18,000000 ; 71,000000 ; 0,000000 ; 7493,000000 ; 1966,000000 ; 
19 ; 19,000000 ; 77,000000 ; 0,000000 ; 7805,000000 ; 2067,000000 ; 
20 ; 20,000000 ; 74,000000 ; 0,000000 ; 8003,000000 ; 2176,000000 ; 
21 ; 21,000000 ; 67,000000 ; 0,000000 ; 8222,000000 ; 2289,000000 ; 
22 ; 22,000000 ; 67,000000 ; 0,000000 ; 8519,000000 ; 2397,000000 ; 
23 ; 23,000000 ; 66,000000 ; 0,000000 ; 8815,000000 ; 2508,000000 ; 
24 ; 24,000000 ; 65,000000 ; 0,000000 ; 9269,000000 ; 2625,000000 ; 
25 ; 25,000000 ; 71,000000 ; 0,000000 ; 9581,000000 ; 2733,000000 ; 
26 ; 26,000000 ; 74,000000 ; 0,000000 ; 9784,000000 ; 2843,000000 ; 
27 ; 27,000000 ; 71,000000 ; 0,000000 ; 10023,000000 ; 2958,000000 ; 
28 ; 28,000000 ; 69,000000 ; 0,000000 ; 10351,000000 ; 3063,000000 ; 
29 ; 29,000000 ; 70,000000 ; 0,000000 ; 10632,000000 ; 3174,000000 ; 
30 ; 30,000000 ; 74,000000 ; 0,000000 ; 10991,000000 ; 3285,000000 ; 
31 ; 31,000000 ; 79,000000 ; 0,000000 ; 11193,000000 ; 3394,000000 ; 
32 ; 32,000000 ; 72,000000 ; 0,000000 ; 11505,000000 ; 3506,000000 ; 
33 ; 33,000000 ; 70,000000 ; 0,000000 ; 11927,000000 ; 3617,000000 ; 
34 ; 34,000000 ; 70,000000 ; 0,000000 ; 12146,000000 ; 3729,000000 ; 
35 ; 35,000000 ; 68,000000 ; 0,000000 ; 12302,000000 ; 3841,000000 ; 
36 ; 36,000000 ; 70,000000 ; 0,000000 ; 12615,000000 ; 3954,000000 ; 
37 ; 37,000000 ; 68,000000 ; 0,000000 ; 12880,000000 ; 4062,000000 ; 
38 ; 38,000000 ; 68,000000 ; 0,000000 ; 13193,000000 ; 4182,000000 ; 
39 ; 39,000000 ; 71,000000 ; 0,000000 ; 13512,000000 ; 4291,000000 ; 
40 ; 40,000000 ; 72,000000 ; 0,000000 ; 13973,000000 ; 4393,000000 ; 
41 ; 41,000000 ; 73,000000 ; 0,000000 ; 14098,000000 ; 4502,000000 ; 
42 ; 42,000000 ; 80,000000 ; 0,000000 ; 14317,000000 ; 4603,000000 ; 
43 ; 43,000000 ; 75,000000 ; 0,000000 ; 14664,000000 ; 4720,000000 ; 
44 ; 44,000000 ; 75,000000 ; 0,000000 ; 15039,000000 ; 4825,000000 ; 
45 ; 45,000000 ; 74,000000 ; 0,000000 ; 15228,000000 ; 4931,000000 ; 
46 ; 46,000000 ; 75,000000 ; 0,000000 ; 15704,000000 ; 5040,000000 ; 
47 ; 47,000000 ; 79,000000 ; 0,000000 ; 15891,000000 ; 5145,000000 ; 
48 ; 48,000000 ; 84,000000 ; 0,000000 ; 16246,000000 ; 5244,000000 ; 
49 ; 49,000000 ; 76,000000 ; 0,000000 ; 16521,000000 ; 5342,000000 ; 
50 ; 50,000000 ; 78,000000 ; 0,000000 ; 16774,000000 ; 5447,000000 ; 
51 ; 51,000000 ; 86,000000 ; 1,000000 ; 17027,000000 ; 5540,000000 ; 
52 ; 52,000000 ; 88,000000 ; 1,000000 ; 17292,000000 ; 5644,000000 ; 
53 ; 53,000000 ; 88,000000 ; 1,000000 ; 17596,000000 ; 5741,000000 ; 
54 ; 54,000000 ; 85,000000 ; 1,000000 ; 17902,000000 ; 5837,000000 ; 
55 ; 55,000000 ; 94,000000 ; 1,000000 ; 18231,000000 ; 5933,000000 ; 
56 ; 56,000000 ; 105,000000 ; 1,000000 ; 18589,000000 ; 6024,000000 ; 
57 ; 57,000000 ; 111,000000 ; 1,000000 ; 19015,000000 ; 6114,000000 ; 
58 ; 58,000000 ; 110,000000 ; 1,000000 ; 19118,000000 ; 6204,000000 ; 
59 ; 59,000000 ; 112,000000 ; 1,000000 ; 19509,000000 ; 6296,000000 ; 
60 ; 60,000000 ; 112,000000 ; 1,000000 ; 19712,000000 ; 6386,000000 ; 
61 ; 61,000000 ; 114,000000 ; 1,000000 ; 20165,000000 ; 6476,000000 ; 
62 ; 62,000000 ; 110,000000 ; 1,000000 ; 20571,000000 ; 6571,000000 ; 
63 ; 63,000000 ; 110,000000 ; 1,000000 ; 20821,000000 ; 6662,000000 ; 
64 ; 64,000000 ; 110,000000 ; 1,000000 ; 21118,000000 ; 6752,000000 ; 
65 ; 65,000000 ; 119,000000 ; 1,000000 ; 21446,000000 ; 6842,000000 ; 
66 ; 66,000000 ; 124,000000 ; 1,000000 ; 22056,000000 ; 6924,000000 ; 
67 ; 67,000000 ; 112,000000 ; 1,000000 ; 22431,000000 ; 7019,000000 ; 
68 ; 68,000000 ; 120,000000 ; 1,000000 ; 22603,000000 ; 7116,000000 ; 
69 ; 69,000000 ; 116,000000 ; 1,000000 ; 22978,000000 ; 7205,000000 ; 
70 ; 70,000000 ; 110,000000 ; 1,000000 ; 23290,000000 ; 7293,000000 ; 
71 ; 71,000000 ; 126,000000 ; 1,000000 ; 23477,000000 ; 7377,000000 ; 
72 ; 72,000000 ; 117,000000 ; 1,000000 ; 23790,000000 ; 7475,000000 ; 
73 ; 73,000000 ; 123,000000 ; 1,000000 ; 24040,000000 ; 7557,000000 ; 
74 ; 74,000000 ; 118,000000 ; 1,000000 ; 24399,000000 ; 7648,000000 ; 
75 ; 75,000000 ; 122,000000 ; 1,000000 ; 24587,000000 ; 7732,000000 ; 
76 ; 76,000000 ; 122,000000 ; 1,000000 ; 24899,000000 ; 7821,000000 ; 
77 ; 77,000000 ; 115,000000 ; 1,000000 ; 25274,000000 ; 7915,000000 ; 
78 ; 78,000000 ; 119,000000 ; 1,000000 ; 25446,000000 ; 7998,000000 ; 
79 ; 79,000000 ; 116,000000 ; 1,000000 ; 25790,000000 ; 8095,000000 ; 
80 ; 80,000000 ; 121,000000 ; 1,000000 ; 26102,000000 ; 8184,000000 ; 
81 ; 81,000000 ; 106,000000 ; 1,000000 ; 26352,000000 ; 8268,000000 ; 
82 ; 82,000000 ; 113,000000 ; 1,000000 ; 26696,000000 ; 8367,000000 ; 
83 ; 83,000000 ; 117,000000 ; 1,000000 ; 26868,000000 ; 8454,000000 ; 
84 ; 84,000000 ; 121,000000 ; 1,000000 ; 27258,000000 ; 8538,000000 ; 
85 ; 85,000000 ; 117,000000 ; 1,000000 ; 27571,000000 ; 8627,000000 ; 
86 ; 86,000000 ; 121,000000 ; 1,000000 ; 27774,000000 ; 8716,000000 ; 
87 ; 87,000000 ; 117,000000 ; 1,000000 ; 27993,000000 ; 8796,000000 ; 
88 ; 88,000000 ; 116,000000 ; 1,000000 ; 28364,000000 ; 8889,000000 ; 
89 ; 89,000000 ; 111,000000 ; 1,000000 ; 28786,000000 ; 8978,000000 ; 
90 ; 90,000000 ; 121,000000 ; 1,000000 ; 28973,000000 ; 9064,000000 ; 
91 ; 91,000000 ; 114,000000 ; 1,000000 ; 29348,000000 ; 9154,000000 ; 
92 ; 92,000000 ; 118,000000 ; 1,000000 ; 29504,000000 ; 9228,000000 ; 
93 ; 93,000000 ; 122,000000 ; 1,000000 ; 29890,000000 ; 9310,000000 ; 
94 ; 94,000000 ; 117,000000 ; 1,000000 ; 30171,000000 ; 9406,000000 ; 
95 ; 95,000000 ; 122,000000 ; 1,000000 ; 30484,000000 ; 9498,000000 ; 
96 ; 96,000000 ; 113,000000 ; 1,000000 ; 30702,000000 ; 9591,000000 ; 
97 ; 97,000000 ; 123,000000 ; 1,000000 ; 31062,000000 ; 9687,000000 ; 
98 ; 98,000000 ; 105,000000 ; 1,000000 ; 31343,000000 ; 9775,000000 ; 
99 ; 99,000000 ; 119,000000 ; 1,000000 ; 31530,000000 ; 9866,000000 ; 
100 ; 100,000000 ; 121,000000 ; 1,000000 ; 31874,000000 ; 9951,000000 ; 
