Statistic  ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
Solver 59 ; 100,000000 ; 128,000000 ; 1,000000 ; 31311,000000 ; 11132,000000
Solver 60 ; 100,000000 ; 128,000000 ; 1,000000 ; 31311,000000 ; 11096,000000
Solver 61 ; 100,000000 ; 128,000000 ; 1,000000 ; 31296,000000 ; 11174,000000
Solver 62 ; 100,000000 ; 128,000000 ; 1,000000 ; 31296,000000 ; 11103,000000
Solver 63 ; 100,000000 ; 128,000000 ; 1,000000 ; 31296,000000 ; 11192,000000
Solver 64 ; 100,000000 ; 128,000000 ; 1,000000 ; 31296,000000 ; 11063,000000
Solver 65 ; 100,000000 ; 128,000000 ; 1,000000 ; 31296,000000 ; 11094,000000
Solver 66 ; 100,000000 ; 128,000000 ; 1,000000 ; 31312,000000 ; 11194,000000
Solver 67 ; 100,000000 ; 128,000000 ; 1,000000 ; 31312,000000 ; 11108,000000
Solver 68 ; 100,000000 ; 128,000000 ; 1,000000 ; 31312,000000 ; 11191,000000
Solver 69 ; 100,000000 ; 128,000000 ; 1,000000 ; 31312,000000 ; 11157,000000
Solver 70 ; 100,000000 ; 128,000000 ; 1,000000 ; 31312,000000 ; 11036,000000
Solver 71 ; 100,000000 ; 128,000000 ; 1,000000 ; 31312,000000 ; 11143,000000
Solver 72 ; 100,000000 ; 128,000000 ; 1,000000 ; 31328,000000 ; 11145,000000
Solver 73 ; 100,000000 ; 128,000000 ; 1,000000 ; 31328,000000 ; 11096,000000
Solver 74 ; 100,000000 ; 128,000000 ; 1,000000 ; 31328,000000 ; 11068,000000
Solver 75 ; 100,000000 ; 128,000000 ; 1,000000 ; 31312,000000 ; 11129,000000
Solver 76 ; 100,000000 ; 128,000000 ; 1,000000 ; 31312,000000 ; 11110,000000
Solver 77 ; 100,000000 ; 128,000000 ; 1,000000 ; 31312,000000 ; 11082,000000
Solver 78 ; 100,000000 ; 128,000000 ; 1,000000 ; 31327,000000 ; 11158,000000
Solver 79 ; 100,000000 ; 128,000000 ; 1,000000 ; 31327,000000 ; 11059,000000
Solver 80 ; 100,000000 ; 128,000000 ; 1,000000 ; 31327,000000 ; 11071,000000
Solver 81 ; 100,000000 ; 128,000000 ; 1,000000 ; 31327,000000 ; 11126,000000
Solver 82 ; 100,000000 ; 128,000000 ; 1,000000 ; 31327,000000 ; 11066,000000
Solver 83 ; 100,000000 ; 128,000000 ; 1,000000 ; 31343,000000 ; 11158,000000
Solver 84 ; 100,000000 ; 128,000000 ; 1,000000 ; 31343,000000 ; 11118,000000
Solver 85 ; 100,000000 ; 128,000000 ; 1,000000 ; 31343,000000 ; 11173,000000
Solver 86 ; 100,000000 ; 128,000000 ; 1,000000 ; 31343,000000 ; 11009,000000
Solver 87 ; 100,000000 ; 128,000000 ; 1,000000 ; 31343,000000 ; 11171,000000
Solver 88 ; 100,000000 ; 128,000000 ; 1,000000 ; 31359,000000 ; 11133,000000
Solver 89 ; 100,000000 ; 128,000000 ; 1,000000 ; 31343,000000 ; 11057,000000
Solver 90 ; 100,000000 ; 128,000000 ; 1,000000 ; 31358,000000 ; 11108,000000
Solver 91 ; 100,000000 ; 128,000000 ; 1,000000 ; 31358,000000 ; 11147,000000
Solver 92 ; 100,000000 ; 128,000000 ; 1,000000 ; 31358,000000 ; 11147,000000
Solver 93 ; 100,000000 ; 128,000000 ; 1,000000 ; 31358,000000 ; 11112,000000
Solver 94 ; 100,000000 ; 128,000000 ; 1,000000 ; 31374,000000 ; 11080,000000
Solver 95 ; 100,000000 ; 128,000000 ; 1,000000 ; 31374,000000 ; 11140,000000
Solver 96 ; 100,000000 ; 128,000000 ; 1,000000 ; 31389,000000 ; 11147,000000
Solver 97 ; 100,000000 ; 128,000000 ; 1,000000 ; 31389,000000 ; 11098,000000
Solver 98 ; 100,000000 ; 128,000000 ; 1,000000 ; 31389,000000 ; 11067,000000
Solver 99 ; 100,000000 ; 128,000000 ; 1,000000 ; 31389,000000 ; 11118,000000

