Statistic ; BestFitness ; Generation ; GeneticDiversity ; Individuals ; SelectedGenotypes ; SelectedIndividuals ; SucessRate ; Time ; FunctionCalls
0 ; 8,000000 ; 0,000000 ; 0,988967 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 8,000000 ; 3,000000 ; 0,942763 ; 68,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 674,000000 ; 338,000000 ; 
2 ; 16,000000 ; 6,000000 ; 0,852302 ; 70,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 1409,000000 ; 660,000000 ; 
3 ; 24,000000 ; 10,000000 ; 0,792121 ; 69,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 2375,000000 ; 1097,000000 ; 
4 ; 24,000000 ; 13,000000 ; 0,611233 ; 67,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 2782,000000 ; 1434,000000 ; 
5 ; 32,000000 ; 16,000000 ; 0,441023 ; 71,000000 ; 47,000000 ; 128,000000 ; 0,000000 ; 3169,000000 ; 1773,000000 ; 
6 ; 32,000000 ; 20,000000 ; 0,393245 ; 67,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 3624,000000 ; 2202,000000 ; 
7 ; 32,000000 ; 23,000000 ; 0,525025 ; 69,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 3984,000000 ; 2528,000000 ; 
8 ; 32,000000 ; 26,000000 ; 0,630911 ; 81,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 4227,000000 ; 2837,000000 ; 
9 ; 32,000000 ; 30,000000 ; 0,381334 ; 70,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 4550,000000 ; 3273,000000 ; 
10 ; 40,000000 ; 33,000000 ; 0,181270 ; 68,000000 ; 58,000000 ; 128,000000 ; 0,000000 ; 4780,000000 ; 3609,000000 ; 
11 ; 40,000000 ; 37,000000 ; 0,278937 ; 65,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 5030,000000 ; 4048,000000 ; 
12 ; 48,000000 ; 40,000000 ; 0,270489 ; 69,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 5202,000000 ; 4387,000000 ; 
13 ; 48,000000 ; 43,000000 ; 0,233868 ; 70,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 5394,000000 ; 4715,000000 ; 
14 ; 48,000000 ; 47,000000 ; 0,262699 ; 70,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 5612,000000 ; 5163,000000 ; 
15 ; 48,000000 ; 50,000000 ; 0,298051 ; 69,000000 ; 59,000000 ; 128,000000 ; 0,000000 ; 5769,000000 ; 5488,000000 ; 
16 ; 48,000000 ; 53,000000 ; 0,314909 ; 67,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 5909,000000 ; 5829,000000 ; 
17 ; 48,000000 ; 57,000000 ; 0,312608 ; 67,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 6112,000000 ; 6278,000000 ; 
18 ; 48,000000 ; 60,000000 ; 0,263618 ; 68,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 6259,000000 ; 6598,000000 ; 
19 ; 48,000000 ; 63,000000 ; 0,264356 ; 69,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 6416,000000 ; 6930,000000 ; 
20 ; 48,000000 ; 67,000000 ; 0,287242 ; 69,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 6619,000000 ; 7381,000000 ; 
21 ; 56,000000 ; 70,000000 ; 0,292460 ; 66,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 6759,000000 ; 7725,000000 ; 
22 ; 56,000000 ; 74,000000 ; 0,295018 ; 71,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 6962,000000 ; 8172,000000 ; 
23 ; 56,000000 ; 77,000000 ; 0,275382 ; 73,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 7119,000000 ; 8508,000000 ; 
24 ; 56,000000 ; 80,000000 ; 0,232761 ; 70,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 7291,000000 ; 8858,000000 ; 
25 ; 56,000000 ; 84,000000 ; 0,229722 ; 74,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 7478,000000 ; 9298,000000 ; 
26 ; 56,000000 ; 87,000000 ; 0,241446 ; 71,000000 ; 58,000000 ; 128,000000 ; 0,000000 ; 7634,000000 ; 9648,000000 ; 
27 ; 56,000000 ; 90,000000 ; 0,258592 ; 76,000000 ; 59,000000 ; 128,000000 ; 0,000000 ; 7775,000000 ; 9982,000000 ; 
28 ; 56,000000 ; 94,000000 ; 0,292359 ; 67,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 8009,000000 ; 10438,000000 ; 
29 ; 56,000000 ; 97,000000 ; 0,303486 ; 67,000000 ; 59,000000 ; 128,000000 ; 0,000000 ; 8244,000000 ; 10778,000000 ; 
30 ; 56,000000 ; 100,000000 ; 0,306096 ; 68,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 8462,000000 ; 11114,000000 ; 
31 ; 56,000000 ; 104,000000 ; 0,323545 ; 71,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 8691,000000 ; 11525,000000 ; 
32 ; 56,000000 ; 107,000000 ; 0,326215 ; 77,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 8863,000000 ; 11841,000000 ; 
33 ; 56,000000 ; 111,000000 ; 0,322314 ; 66,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 9128,000000 ; 12296,000000 ; 
34 ; 56,000000 ; 114,000000 ; 0,321372 ; 71,000000 ; 58,000000 ; 128,000000 ; 0,000000 ; 9315,000000 ; 12630,000000 ; 
35 ; 56,000000 ; 117,000000 ; 0,317953 ; 70,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 9502,000000 ; 12969,000000 ; 
36 ; 56,000000 ; 121,000000 ; 0,334234 ; 71,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 9814,000000 ; 13418,000000 ; 
37 ; 56,000000 ; 124,000000 ; 0,350809 ; 68,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 10033,000000 ; 13760,000000 ; 
38 ; 64,000000 ; 127,000000 ; 0,356355 ; 70,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 10221,000000 ; 14087,000000 ; 
39 ; 64,000000 ; 131,000000 ; 0,360270 ; 66,000000 ; 58,000000 ; 128,000000 ; 0,000000 ; 10485,000000 ; 14518,000000 ; 
40 ; 64,000000 ; 134,000000 ; 0,361397 ; 71,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 10673,000000 ; 14855,000000 ; 
41 ; 64,000000 ; 137,000000 ; 0,350285 ; 70,000000 ; 47,000000 ; 128,000000 ; 0,000000 ; 10907,000000 ; 15190,000000 ; 
42 ; 72,000000 ; 141,000000 ; 0,294939 ; 74,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 11157,000000 ; 15632,000000 ; 
43 ; 72,000000 ; 144,000000 ; 0,264382 ; 76,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 11329,000000 ; 15942,000000 ; 
