Statistic ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
0 ; 0,000000 ; 128,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 1,000000 ; 128,000000 ; 0,000000 ; 0,000000 ; 110,000000 ; 
2 ; 2,000000 ; 128,000000 ; 0,000000 ; 500,000000 ; 227,000000 ; 
3 ; 3,000000 ; 128,000000 ; 0,000000 ; 891,000000 ; 337,000000 ; 
4 ; 4,000000 ; 128,000000 ; 0,000000 ; 1438,000000 ; 451,000000 ; 
5 ; 5,000000 ; 128,000000 ; 0,000000 ; 1922,000000 ; 561,000000 ; 
6 ; 6,000000 ; 128,000000 ; 0,000000 ; 2593,000000 ; 669,000000 ; 
7 ; 7,000000 ; 128,000000 ; 0,000000 ; 2889,000000 ; 784,000000 ; 
8 ; 8,000000 ; 128,000000 ; 0,000000 ; 3570,000000 ; 887,000000 ; 
9 ; 9,000000 ; 128,000000 ; 0,000000 ; 3632,000000 ; 994,000000 ; 
10 ; 10,000000 ; 128,000000 ; 0,000000 ; 3950,000000 ; 1102,000000 ; 
11 ; 11,000000 ; 128,000000 ; 0,000000 ; 4403,000000 ; 1217,000000 ; 
12 ; 12,000000 ; 128,000000 ; 0,000000 ; 4699,000000 ; 1326,000000 ; 
13 ; 13,000000 ; 128,000000 ; 0,000000 ; 4934,000000 ; 1434,000000 ; 
14 ; 14,000000 ; 128,000000 ; 0,000000 ; 5418,000000 ; 1550,000000 ; 
15 ; 15,000000 ; 128,000000 ; 0,000000 ; 5809,000000 ; 1666,000000 ; 
16 ; 16,000000 ; 128,000000 ; 0,000000 ; 6199,000000 ; 1777,000000 ; 
17 ; 17,000000 ; 128,000000 ; 0,000000 ; 6403,000000 ; 1887,000000 ; 
18 ; 18,000000 ; 128,000000 ; 0,000000 ; 6590,000000 ; 2004,000000 ; 
19 ; 19,000000 ; 128,000000 ; 0,000000 ; 6962,000000 ; 2112,000000 ; 
20 ; 20,000000 ; 128,000000 ; 0,000000 ; 7243,000000 ; 2219,000000 ; 
21 ; 21,000000 ; 128,000000 ; 0,000000 ; 7537,000000 ; 2338,000000 ; 
22 ; 22,000000 ; 128,000000 ; 0,000000 ; 7785,000000 ; 2451,000000 ; 
23 ; 23,000000 ; 128,000000 ; 0,000000 ; 8207,000000 ; 2560,000000 ; 
24 ; 24,000000 ; 128,000000 ; 0,000000 ; 8488,000000 ; 2676,000000 ; 
25 ; 25,000000 ; 128,000000 ; 0,000000 ; 8816,000000 ; 2783,000000 ; 
26 ; 26,000000 ; 128,000000 ; 0,000000 ; 9003,000000 ; 2892,000000 ; 
27 ; 27,000000 ; 128,000000 ; 0,000000 ; 9425,000000 ; 3001,000000 ; 
28 ; 28,000000 ; 128,000000 ; 0,000000 ; 9570,000000 ; 3117,000000 ; 
29 ; 29,000000 ; 128,000000 ; 0,000000 ; 10070,000000 ; 3232,000000 ; 
30 ; 30,000000 ; 128,000000 ; 0,000000 ; 10148,000000 ; 3343,000000 ; 
31 ; 31,000000 ; 128,000000 ; 0,000000 ; 10429,000000 ; 3447,000000 ; 
32 ; 32,000000 ; 128,000000 ; 0,000000 ; 10928,000000 ; 3559,000000 ; 
33 ; 33,000000 ; 128,000000 ; 0,000000 ; 11194,000000 ; 3673,000000 ; 
34 ; 34,000000 ; 128,000000 ; 0,000000 ; 11490,000000 ; 3781,000000 ; 
35 ; 35,000000 ; 128,000000 ; 0,000000 ; 11819,000000 ; 3893,000000 ; 
36 ; 36,000000 ; 128,000000 ; 0,000000 ; 12100,000000 ; 4008,000000 ; 
37 ; 37,000000 ; 128,000000 ; 0,000000 ; 12225,000000 ; 4110,000000 ; 
38 ; 38,000000 ; 128,000000 ; 0,000000 ; 12615,000000 ; 4220,000000 ; 
39 ; 39,000000 ; 128,000000 ; 0,000000 ; 12834,000000 ; 4327,000000 ; 
40 ; 40,000000 ; 128,000000 ; 0,000000 ; 13229,000000 ; 4431,000000 ; 
41 ; 41,000000 ; 128,000000 ; 0,000000 ; 13349,000000 ; 4539,000000 ; 
42 ; 42,000000 ; 128,000000 ; 0,000000 ; 13646,000000 ; 4645,000000 ; 
43 ; 43,000000 ; 128,000000 ; 1,000000 ; 14146,000000 ; 4762,000000 ; 
44 ; 44,000000 ; 128,000000 ; 1,000000 ; 14368,000000 ; 4874,000000 ; 
45 ; 45,000000 ; 128,000000 ; 1,000000 ; 14477,000000 ; 4985,000000 ; 
46 ; 46,000000 ; 128,000000 ; 1,000000 ; 14774,000000 ; 5094,000000 ; 
47 ; 47,000000 ; 128,000000 ; 1,000000 ; 15157,000000 ; 5206,000000 ; 
48 ; 48,000000 ; 128,000000 ; 1,000000 ; 15532,000000 ; 5311,000000 ; 
49 ; 49,000000 ; 128,000000 ; 1,000000 ; 15899,000000 ; 5427,000000 ; 
50 ; 50,000000 ; 128,000000 ; 1,000000 ; 16062,000000 ; 5541,000000 ; 
51 ; 51,000000 ; 128,000000 ; 1,000000 ; 16272,000000 ; 5651,000000 ; 
52 ; 52,000000 ; 128,000000 ; 1,000000 ; 16793,000000 ; 5765,000000 ; 
53 ; 53,000000 ; 128,000000 ; 1,000000 ; 16934,000000 ; 5874,000000 ; 
54 ; 54,000000 ; 128,000000 ; 1,000000 ; 17300,000000 ; 5987,000000 ; 
55 ; 55,000000 ; 128,000000 ; 1,000000 ; 17669,000000 ; 6102,000000 ; 
56 ; 56,000000 ; 128,000000 ; 1,000000 ; 17903,000000 ; 6215,000000 ; 
57 ; 57,000000 ; 128,000000 ; 1,000000 ; 18152,000000 ; 6318,000000 ; 
58 ; 58,000000 ; 128,000000 ; 1,000000 ; 18422,000000 ; 6429,000000 ; 
59 ; 59,000000 ; 128,000000 ; 1,000000 ; 18697,000000 ; 6546,000000 ; 
60 ; 60,000000 ; 128,000000 ; 1,000000 ; 19197,000000 ; 6660,000000 ; 
61 ; 61,000000 ; 128,000000 ; 1,000000 ; 19369,000000 ; 6770,000000 ; 
62 ; 62,000000 ; 128,000000 ; 1,000000 ; 19650,000000 ; 6874,000000 ; 
63 ; 63,000000 ; 128,000000 ; 1,000000 ; 19994,000000 ; 6987,000000 ; 
64 ; 64,000000 ; 128,000000 ; 1,000000 ; 20291,000000 ; 7102,000000 ; 
65 ; 65,000000 ; 128,000000 ; 1,000000 ; 20619,000000 ; 7213,000000 ; 
66 ; 66,000000 ; 128,000000 ; 1,000000 ; 21150,000000 ; 7326,000000 ; 
67 ; 67,000000 ; 128,000000 ; 1,000000 ; 21713,000000 ; 7437,000000 ; 
68 ; 68,000000 ; 128,000000 ; 1,000000 ; 21994,000000 ; 7541,000000 ; 
69 ; 69,000000 ; 128,000000 ; 1,000000 ; 22134,000000 ; 7655,000000 ; 
70 ; 70,000000 ; 128,000000 ; 1,000000 ; 22431,000000 ; 7766,000000 ; 
71 ; 71,000000 ; 128,000000 ; 1,000000 ; 22791,000000 ; 7880,000000 ; 
72 ; 72,000000 ; 128,000000 ; 1,000000 ; 23166,000000 ; 7990,000000 ; 
73 ; 73,000000 ; 128,000000 ; 1,000000 ; 23228,000000 ; 8105,000000 ; 
74 ; 74,000000 ; 128,000000 ; 1,000000 ; 23759,000000 ; 8214,000000 ; 
75 ; 75,000000 ; 128,000000 ; 1,000000 ; 23822,000000 ; 8326,000000 ; 
76 ; 76,000000 ; 128,000000 ; 1,000000 ; 24244,000000 ; 8436,000000 ; 
77 ; 77,000000 ; 128,000000 ; 1,000000 ; 24431,000000 ; 8548,000000 ; 
78 ; 78,000000 ; 128,000000 ; 1,000000 ; 24822,000000 ; 8664,000000 ; 
79 ; 79,000000 ; 128,000000 ; 1,000000 ; 24947,000000 ; 8777,000000 ; 
80 ; 80,000000 ; 128,000000 ; 1,000000 ; 25462,000000 ; 8887,000000 ; 
81 ; 81,000000 ; 128,000000 ; 1,000000 ; 25525,000000 ; 8990,000000 ; 
82 ; 82,000000 ; 128,000000 ; 1,000000 ; 26087,000000 ; 9106,000000 ; 
83 ; 83,000000 ; 128,000000 ; 1,000000 ; 26212,000000 ; 9217,000000 ; 
84 ; 84,000000 ; 128,000000 ; 1,000000 ; 26556,000000 ; 9334,000000 ; 
85 ; 85,000000 ; 128,000000 ; 1,000000 ; 26775,000000 ; 9448,000000 ; 
86 ; 86,000000 ; 128,000000 ; 1,000000 ; 27009,000000 ; 9564,000000 ; 
87 ; 87,000000 ; 128,000000 ; 1,000000 ; 27415,000000 ; 9678,000000 ; 
88 ; 88,000000 ; 128,000000 ; 1,000000 ; 27603,000000 ; 9790,000000 ; 
89 ; 89,000000 ; 128,000000 ; 1,000000 ; 27880,000000 ; 9902,000000 ; 
90 ; 90,000000 ; 128,000000 ; 1,000000 ; 28161,000000 ; 10013,000000 ; 
91 ; 91,000000 ; 128,000000 ; 1,000000 ; 28443,000000 ; 10117,000000 ; 
92 ; 92,000000 ; 128,000000 ; 1,000000 ; 28927,000000 ; 10225,000000 ; 
93 ; 93,000000 ; 128,000000 ; 1,000000 ; 29005,000000 ; 10335,000000 ; 
94 ; 94,000000 ; 128,000000 ; 1,000000 ; 29286,000000 ; 10448,000000 ; 
95 ; 95,000000 ; 128,000000 ; 1,000000 ; 29640,000000 ; 10561,000000 ; 
96 ; 96,000000 ; 128,000000 ; 1,000000 ; 29875,000000 ; 10670,000000 ; 
97 ; 97,000000 ; 128,000000 ; 1,000000 ; 30156,000000 ; 10780,000000 ; 
98 ; 98,000000 ; 128,000000 ; 1,000000 ; 30687,000000 ; 10889,000000 ; 
99 ; 99,000000 ; 128,000000 ; 1,000000 ; 30890,000000 ; 11002,000000 ; 
100 ; 100,000000 ; 128,000000 ; 1,000000 ; 31093,000000 ; 11113,000000 ; 
