Statistic  ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
Solver 59 ; 100,000000 ; 125,000000 ; 1,000000 ; 31890,000000 ; 9822,000000
Solver 60 ; 100,000000 ; 122,000000 ; 1,000000 ; 31624,000000 ; 9862,000000
Solver 61 ; 100,000000 ; 128,000000 ; 1,000000 ; 31858,000000 ; 9954,000000
Solver 62 ; 100,000000 ; 124,000000 ; 1,000000 ; 31624,000000 ; 9784,000000
Solver 63 ; 100,000000 ; 117,000000 ; 1,000000 ; 31858,000000 ; 9998,000000
Solver 64 ; 100,000000 ; 120,000000 ; 1,000000 ; 31624,000000 ; 10181,000000
Solver 65 ; 100,000000 ; 124,000000 ; 1,000000 ; 31858,000000 ; 9955,000000
Solver 66 ; 100,000000 ; 122,000000 ; 1,000000 ; 31640,000000 ; 9885,000000
Solver 67 ; 100,000000 ; 123,000000 ; 1,000000 ; 31843,000000 ; 9966,000000
Solver 68 ; 100,000000 ; 113,000000 ; 1,000000 ; 31843,000000 ; 10060,000000
Solver 69 ; 100,000000 ; 115,000000 ; 1,000000 ; 31843,000000 ; 9975,000000
Solver 70 ; 100,000000 ; 126,000000 ; 1,000000 ; 31827,000000 ; 9963,000000
Solver 71 ; 100,000000 ; 121,000000 ; 1,000000 ; 31827,000000 ; 9941,000000
Solver 72 ; 100,000000 ; 120,000000 ; 1,000000 ; 31827,000000 ; 10141,000000
Solver 73 ; 100,000000 ; 117,000000 ; 1,000000 ; 31796,000000 ; 9978,000000
Solver 74 ; 100,000000 ; 125,000000 ; 1,000000 ; 31625,000000 ; 9916,000000
Solver 75 ; 100,000000 ; 119,000000 ; 1,000000 ; 31796,000000 ; 9843,000000
Solver 76 ; 100,000000 ; 117,000000 ; 1,000000 ; 31796,000000 ; 9960,000000
Solver 77 ; 100,000000 ; 123,000000 ; 1,000000 ; 31625,000000 ; 9802,000000
Solver 78 ; 100,000000 ; 121,000000 ; 1,000000 ; 31796,000000 ; 9768,000000
Solver 79 ; 100,000000 ; 125,000000 ; 1,000000 ; 31625,000000 ; 9928,000000
Solver 80 ; 100,000000 ; 122,000000 ; 1,000000 ; 31625,000000 ; 9939,000000
Solver 81 ; 100,000000 ; 125,000000 ; 1,000000 ; 31796,000000 ; 9872,000000
Solver 82 ; 100,000000 ; 107,000000 ; 1,000000 ; 31781,000000 ; 10124,000000
Solver 83 ; 100,000000 ; 121,000000 ; 1,000000 ; 31718,000000 ; 10054,000000
