Statistic ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
0 ; 0,000000 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 1,000000 ; 74,000000 ; 0,000000 ; 0,000000 ; 103,000000 ; 
2 ; 2,000000 ; 69,000000 ; 0,000000 ; 1031,000000 ; 218,000000 ; 
3 ; 3,000000 ; 68,000000 ; 0,000000 ; 1656,000000 ; 322,000000 ; 
4 ; 4,000000 ; 70,000000 ; 0,000000 ; 2593,000000 ; 431,000000 ; 
5 ; 5,000000 ; 69,000000 ; 0,000000 ; 3155,000000 ; 537,000000 ; 
6 ; 6,000000 ; 67,000000 ; 0,000000 ; 3453,000000 ; 646,000000 ; 
7 ; 7,000000 ; 70,000000 ; 0,000000 ; 3803,000000 ; 756,000000 ; 
8 ; 8,000000 ; 71,000000 ; 0,000000 ; 4256,000000 ; 859,000000 ; 
9 ; 9,000000 ; 73,000000 ; 0,000000 ; 4449,000000 ; 973,000000 ; 
10 ; 10,000000 ; 76,000000 ; 0,000000 ; 4730,000000 ; 1085,000000 ; 
11 ; 11,000000 ; 72,000000 ; 0,000000 ; 5214,000000 ; 1194,000000 ; 
12 ; 12,000000 ; 66,000000 ; 0,000000 ; 5495,000000 ; 1308,000000 ; 
13 ; 13,000000 ; 64,000000 ; 0,000000 ; 5995,000000 ; 1434,000000 ; 
14 ; 14,000000 ; 69,000000 ; 0,000000 ; 6261,000000 ; 1546,000000 ; 
15 ; 15,000000 ; 67,000000 ; 0,000000 ; 6558,000000 ; 1656,000000 ; 
16 ; 16,000000 ; 71,000000 ; 0,000000 ; 6777,000000 ; 1760,000000 ; 
17 ; 17,000000 ; 68,000000 ; 0,000000 ; 7042,000000 ; 1864,000000 ; 
18 ; 18,000000 ; 70,000000 ; 0,000000 ; 7352,000000 ; 1968,000000 ; 
19 ; 19,000000 ; 76,000000 ; 0,000000 ; 7852,000000 ; 2069,000000 ; 
20 ; 20,000000 ; 81,000000 ; 0,000000 ; 8034,000000 ; 2178,000000 ; 
