Statistic ; BestFitness ; Generation ; GeneticDiversity ; Individuals ; SelectedGenotypes ; SelectedIndividuals ; SucessRate ; Time ; FunctionCalls
0 ; 8,000000 ; 0,000000 ; 0,988366 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 8,000000 ; 3,000000 ; 0,936312 ; 69,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 966,000000 ; 328,000000 ; 
2 ; 16,000000 ; 6,000000 ; 0,883691 ; 70,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 1451,000000 ; 670,000000 ; 
3 ; 16,000000 ; 9,000000 ; 0,771984 ; 71,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 2097,000000 ; 998,000000 ; 
4 ; 24,000000 ; 13,000000 ; 0,450597 ; 69,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 2581,000000 ; 1434,000000 ; 
5 ; 24,000000 ; 16,000000 ; 0,410267 ; 64,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 2831,000000 ; 1776,000000 ; 
6 ; 24,000000 ; 19,000000 ; 0,388822 ; 68,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 3081,000000 ; 2111,000000 ; 
7 ; 24,000000 ; 22,000000 ; 0,399068 ; 67,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 3316,000000 ; 2443,000000 ; 
8 ; 32,000000 ; 26,000000 ; 0,426079 ; 67,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 3628,000000 ; 2870,000000 ; 
9 ; 32,000000 ; 29,000000 ; 0,335244 ; 68,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 3831,000000 ; 3197,000000 ; 
10 ; 32,000000 ; 32,000000 ; 0,304003 ; 71,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 4019,000000 ; 3519,000000 ; 
11 ; 32,000000 ; 35,000000 ; 0,315497 ; 67,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 4284,000000 ; 3852,000000 ; 
12 ; 32,000000 ; 39,000000 ; 0,332023 ; 71,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 4550,000000 ; 4291,000000 ; 
13 ; 32,000000 ; 42,000000 ; 0,354353 ; 68,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 4760,000000 ; 4616,000000 ; 
14 ; 32,000000 ; 45,000000 ; 0,364919 ; 69,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 4994,000000 ; 4947,000000 ; 
15 ; 32,000000 ; 48,000000 ; 0,363700 ; 65,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 5197,000000 ; 5286,000000 ; 
16 ; 32,000000 ; 52,000000 ; 0,378689 ; 66,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 5431,000000 ; 5716,000000 ; 
17 ; 40,000000 ; 55,000000 ; 0,386315 ; 67,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 5588,000000 ; 6050,000000 ; 
18 ; 32,000000 ; 58,000000 ; 0,405384 ; 67,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 5775,000000 ; 6388,000000 ; 
19 ; 32,000000 ; 61,000000 ; 0,420212 ; 67,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 5931,000000 ; 6730,000000 ; 
20 ; 32,000000 ; 65,000000 ; 0,433988 ; 69,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 6213,000000 ; 7183,000000 ; 
21 ; 32,000000 ; 68,000000 ; 0,434168 ; 73,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 6353,000000 ; 7501,000000 ; 
