Statistic ; BestFitness ; Generation ; GeneticDiversity ; Individuals ; SelectedGenotypes ; SelectedIndividuals ; SucessRate ; Time ; FunctionCalls
0 ; 8,000000 ; 0,000000 ; 0,988522 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 16,000000 ; 3,000000 ; 0,941317 ; 67,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 1640,000000 ; 324,000000 ; 
2 ; 16,000000 ; 6,000000 ; 0,846829 ; 68,000000 ; 45,000000 ; 128,000000 ; 0,000000 ; 2157,000000 ; 663,000000 ; 
3 ; 16,000000 ; 10,000000 ; 0,730337 ; 68,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 2928,000000 ; 1117,000000 ; 
4 ; 16,000000 ; 13,000000 ; 0,573479 ; 69,000000 ; 43,000000 ; 128,000000 ; 0,000000 ; 3287,000000 ; 1455,000000 ; 
5 ; 24,000000 ; 16,000000 ; 0,502105 ; 70,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 3537,000000 ; 1782,000000 ; 
6 ; 24,000000 ; 20,000000 ; 0,503669 ; 67,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 3849,000000 ; 2222,000000 ; 
7 ; 32,000000 ; 23,000000 ; 0,383389 ; 77,000000 ; 44,000000 ; 128,000000 ; 0,000000 ; 4131,000000 ; 2551,000000 ; 
8 ; 32,000000 ; 27,000000 ; 0,318484 ; 68,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 4396,000000 ; 2995,000000 ; 
9 ; 40,000000 ; 30,000000 ; 0,343420 ; 68,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 4568,000000 ; 3329,000000 ; 
10 ; 40,000000 ; 33,000000 ; 0,359833 ; 70,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 4771,000000 ; 3658,000000 ; 
11 ; 40,000000 ; 37,000000 ; 0,376442 ; 70,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 5068,000000 ; 4098,000000 ; 
12 ; 40,000000 ; 40,000000 ; 0,356599 ; 66,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 5336,000000 ; 4445,000000 ; 
13 ; 48,000000 ; 44,000000 ; 0,324640 ; 69,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 5606,000000 ; 4892,000000 ; 
14 ; 48,000000 ; 47,000000 ; 0,325476 ; 69,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 5809,000000 ; 5227,000000 ; 
15 ; 48,000000 ; 50,000000 ; 0,318090 ; 71,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 6012,000000 ; 5552,000000 ; 
16 ; 56,000000 ; 54,000000 ; 0,294444 ; 67,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 6231,000000 ; 5972,000000 ; 
17 ; 56,000000 ; 57,000000 ; 0,287044 ; 75,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 6387,000000 ; 6304,000000 ; 
18 ; 56,000000 ; 61,000000 ; 0,247509 ; 73,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 6637,000000 ; 6752,000000 ; 
19 ; 56,000000 ; 64,000000 ; 0,235496 ; 73,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 6840,000000 ; 7071,000000 ; 
20 ; 56,000000 ; 67,000000 ; 0,246542 ; 68,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 6981,000000 ; 7412,000000 ; 
21 ; 56,000000 ; 71,000000 ; 0,250699 ; 69,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 7215,000000 ; 7850,000000 ; 
22 ; 64,000000 ; 74,000000 ; 0,267201 ; 69,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 7402,000000 ; 8186,000000 ; 
23 ; 64,000000 ; 78,000000 ; 0,274348 ; 72,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 7734,000000 ; 8631,000000 ; 
24 ; 64,000000 ; 81,000000 ; 0,281308 ; 68,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 7937,000000 ; 8967,000000 ; 
25 ; 64,000000 ; 84,000000 ; 0,248288 ; 74,000000 ; 44,000000 ; 128,000000 ; 0,000000 ; 8109,000000 ; 9302,000000 ; 
26 ; 72,000000 ; 88,000000 ; 0,225746 ; 71,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 8327,000000 ; 9732,000000 ; 
27 ; 64,000000 ; 91,000000 ; 0,237651 ; 68,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 8481,000000 ; 10057,000000 ; 
28 ; 64,000000 ; 95,000000 ; 0,253677 ; 68,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 8716,000000 ; 10510,000000 ; 
29 ; 64,000000 ; 98,000000 ; 0,255978 ; 70,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 8919,000000 ; 10846,000000 ; 
30 ; 72,000000 ; 101,000000 ; 0,273762 ; 70,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 9122,000000 ; 11176,000000 ; 
31 ; 72,000000 ; 105,000000 ; 0,280903 ; 72,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 9352,000000 ; 11631,000000 ; 
32 ; 72,000000 ; 108,000000 ; 0,258687 ; 69,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 9618,000000 ; 11968,000000 ; 
33 ; 72,000000 ; 112,000000 ; 0,202579 ; 68,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 9821,000000 ; 12413,000000 ; 
34 ; 72,000000 ; 115,000000 ; 0,187937 ; 82,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 9977,000000 ; 12723,000000 ; 
35 ; 80,000000 ; 118,000000 ; 0,190293 ; 75,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 10164,000000 ; 13046,000000 ; 
36 ; 80,000000 ; 122,000000 ; 0,200752 ; 73,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 10399,000000 ; 13490,000000 ; 
37 ; 80,000000 ; 125,000000 ; 0,208087 ; 73,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 10539,000000 ; 13831,000000 ; 
38 ; 80,000000 ; 128,000000 ; 0,204307 ; 75,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 10727,000000 ; 14157,000000 ; 
39 ; 80,000000 ; 132,000000 ; 0,159028 ; 70,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 10992,000000 ; 14594,000000 ; 
40 ; 80,000000 ; 135,000000 ; 0,168611 ; 69,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 11164,000000 ; 14942,000000 ; 
41 ; 80,000000 ; 139,000000 ; 0,169174 ; 68,000000 ; 58,000000 ; 128,000000 ; 0,000000 ; 11492,000000 ; 15383,000000 ; 
42 ; 88,000000 ; 142,000000 ; 0,175138 ; 73,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 11664,000000 ; 15708,000000 ; 
43 ; 88,000000 ; 145,000000 ; 0,177068 ; 73,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 11852,000000 ; 16032,000000 ; 
44 ; 88,000000 ; 149,000000 ; 0,201123 ; 74,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 12102,000000 ; 16472,000000 ; 
45 ; 88,000000 ; 152,000000 ; 0,211339 ; 69,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 12289,000000 ; 16809,000000 ; 
46 ; 88,000000 ; 156,000000 ; 0,196844 ; 69,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 12524,000000 ; 17250,000000 ; 
47 ; 88,000000 ; 159,000000 ; 0,164253 ; 70,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 12695,000000 ; 17586,000000 ; 
48 ; 88,000000 ; 162,000000 ; 0,153203 ; 84,000000 ; 47,000000 ; 128,000000 ; 0,000000 ; 12930,000000 ; 17904,000000 ; 
49 ; 88,000000 ; 166,000000 ; 0,147882 ; 70,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 13195,000000 ; 18340,000000 ; 
50 ; 88,000000 ; 169,000000 ; 0,155998 ; 68,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 13367,000000 ; 18678,000000 ; 
51 ; 96,000000 ; 173,000000 ; 0,174608 ; 70,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 13634,000000 ; 19118,000000 ; 
52 ; 96,000000 ; 176,000000 ; 0,177847 ; 70,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 13837,000000 ; 19469,000000 ; 
53 ; 96,000000 ; 179,000000 ; 0,187388 ; 73,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 14040,000000 ; 19802,000000 ; 
54 ; 96,000000 ; 183,000000 ; 0,169477 ; 83,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 14353,000000 ; 20232,000000 ; 
55 ; 96,000000 ; 186,000000 ; 0,146695 ; 81,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 14509,000000 ; 20544,000000 ; 
56 ; 96,000000 ; 190,000000 ; 0,113779 ; 87,000000 ; 44,000000 ; 128,000000 ; 0,000000 ; 14744,000000 ; 20963,000000 ; 
57 ; 96,000000 ; 193,000000 ; 0,112382 ; 84,000000 ; 45,000000 ; 128,000000 ; 0,000000 ; 14931,000000 ; 21281,000000 ; 
58 ; 96,000000 ; 196,000000 ; 0,114161 ; 77,000000 ; 49,000000 ; 128,000000 ; 0,000000 ; 15165,000000 ; 21607,000000 ; 
59 ; 96,000000 ; 200,000000 ; 0,116569 ; 75,000000 ; 58,000000 ; 128,000000 ; 0,000000 ; 15478,000000 ; 22053,000000 ; 
60 ; 96,000000 ; 203,000000 ; 0,117304 ; 77,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 15697,000000 ; 22373,000000 ; 
61 ; 96,000000 ; 207,000000 ; 0,117196 ; 71,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 15915,000000 ; 22820,000000 ; 
62 ; 96,000000 ; 210,000000 ; 0,124503 ; 69,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 16134,000000 ; 23153,000000 ; 
63 ; 96,000000 ; 213,000000 ; 0,128565 ; 74,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 16337,000000 ; 23471,000000 ; 
64 ; 96,000000 ; 217,000000 ; 0,137582 ; 77,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 16572,000000 ; 23893,000000 ; 
65 ; 96,000000 ; 220,000000 ; 0,135921 ; 86,000000 ; 47,000000 ; 128,000000 ; 0,000000 ; 16775,000000 ; 24215,000000 ; 
66 ; 96,000000 ; 224,000000 ; 0,146031 ; 69,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 17009,000000 ; 24654,000000 ; 
67 ; 96,000000 ; 227,000000 ; 0,143525 ; 68,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 17181,000000 ; 24982,000000 ; 
68 ; 96,000000 ; 230,000000 ; 0,150463 ; 76,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 17353,000000 ; 25303,000000 ; 
69 ; 96,000000 ; 234,000000 ; 0,156030 ; 67,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 17587,000000 ; 25760,000000 ; 
70 ; 96,000000 ; 237,000000 ; 0,163892 ; 71,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 17759,000000 ; 26080,000000 ; 
71 ; 96,000000 ; 241,000000 ; 0,159699 ; 71,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 18025,000000 ; 26535,000000 ; 
72 ; 96,000000 ; 244,000000 ; 0,153795 ; 88,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 18228,000000 ; 26856,000000 ; 
73 ; 96,000000 ; 247,000000 ; 0,156741 ; 72,000000 ; 57,000000 ; 128,000000 ; 0,000000 ; 18446,000000 ; 27181,000000 ; 
74 ; 96,000000 ; 251,000000 ; 0,158584 ; 72,000000 ; 58,000000 ; 128,000000 ; 0,000000 ; 18665,000000 ; 27640,000000 ; 
75 ; 96,000000 ; 254,000000 ; 0,159180 ; 72,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 18837,000000 ; 27979,000000 ; 
76 ; 96,000000 ; 257,000000 ; 0,161923 ; 73,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 18993,000000 ; 28316,000000 ; 
77 ; 104,000000 ; 261,000000 ; 0,151775 ; 73,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 19228,000000 ; 28759,000000 ; 
