                    ____________________________________________________________________BestFitness____________________________________________________________________ 		____________________________________________________________________Generation_____________________________________________________________________ 		____________________________________________________________________Individuals____________________________________________________________________ 		____________________________________________________________________SucessRate_____________________________________________________________________ 		_______________________________________________________________________Time________________________________________________________________________ 		___________________________________________________________________FunctionCalls___________________________________________________________________ 		
                                    MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		                MEAN                  STD                  MIN               MEDIAN                  MAX                   Q1                   Q3  		
STATISTIC 9           102.96219513055408    2.651977518318773     99.6517218474963   103.20350090040385   106.40598238375078   100.77886391691797   105.86223114136182  		                  17                    0                   17                   17                   17                   17                   17  		                70.7    2.626785107312709                   65                   71                   74                   69                   73  		                   0                    0                    0                    0                    0                    0                    0  		                2804    75.80090881894344                 2619                 2822                 2890                 2778                 2856  		                1874   22.295988677587523                 1839                 1882                 1907                 1859                 1889  		
STATISTIC 10          104.02181352376563   2.1322885921448016   100.73525028261834   104.04175253873674   106.80715099556318   101.94703290239961   106.39740705016855  		                  19                    0                   19                   19                   19                   19                   19  		                69.7   3.2676869155073005                   65                   70                   74                   68                   73  		                   0                    0                    0                    0                    0                    0                    0  		              3132.6    84.71284829745325                 2932                 3151                 3234                 3107                 3185  		              2097.4   23.133429394609657                 2064                 2106                 2133                 2069                 2108  		
STATISTIC 11           104.7478963475177   2.1918946933794667   101.94703290239961   104.73574995101364   108.57590110038086     103.021416154175   105.55871033751292  		                  20                    0                   20                   20                   20                   20                   20  		                70.4    2.221110833194394                   66                   72                   73                   69                   72  		                   0                    0                    0                    0                    0                    0                    0  		              3200.8   104.06173381432669                 2994                 3207                 3405                 3157                 3242  		              2209.1    25.39225603735322                 2173                 2219                 2243                 2179                 2223  		
STATISTIC 12          106.32895546823636   2.5610475638276737   102.84609789445747   106.79730345881634   110.42456730651534   103.29350160139109    107.4313807919598  		                  22                    0                   22                   22                   22                   22                   22  		                69.6    3.405877273185304                   65                   70                   76                   67                   71  		                   0                    0                    0                    0                    0                    0                    0  		              3415.8    89.40022371336292                 3212                 3434                 3558                 3387                 3460  		              2429.1    23.31165659778746                 2396                 2439                 2460                 2399                 2443  		
STATISTIC 13          108.02768006282687   2.6784067973926984   104.79572910883518   107.62580306786043   112.58211533056084   106.35838096129396    110.0531158268438  		                  24                    0                   24                   24                   24                   24                   24  		                70.3    4.083843505544454                   64                   72                   76                   66                   73  		                   0                    0                    0                    0                    0                    0                    0  		              3636.3    79.73016994839116                 3447                 3650                 3733                 3606                 3684  		              2648.1   25.731303892353807                 2605                 2654                 2690                 2623                 2663  		
STATISTIC 14          108.88084450885394   2.5795058229133923   105.85294806380269   108.81624311971126   113.58190424640169   107.00673253375695    110.0531158268438  		                  26                    0                   26                   26                   26                   26                   26  		                72.7    4.295992965026292                   66                   72                   81                   70                   74  		                   0                    0                    0                    0                    0                    0                    0  		              3870.5    78.74466472226689                 3681                 3900                 3967                 3840                 3918  		              2866.6   27.273104374509415                 2818                 2876                 2910                 2846                 2886  		
STATISTIC 15          110.45331903128667   2.2314488260189536    107.2371441404469   110.20965396461814   114.31505813596536   109.36764660772434   110.81769854982596  		                  28                    0                   28                   28                   28                   28                   28  		                70.4   2.1186998109427986                   67                   71                   75                   70                   71  		                   0                    0                    0                    0                    0                    0                    0  		                3930    71.56814934033156                 3759                 3962                 4014                 3903                 3972  		              3089.5   25.635262172770275                 3044                 3092                 3127                 3070                 3105  		
STATISTIC 16          111.24898369852242     2.76708060839935    107.2371441404469   110.99832258349413   116.41293081410282   109.96273906687044   111.66154783643793  		                  29                    0                   29                   29                   29                   29                   29  		                70.8    2.780887148615199                   67                   71                   77                   69                   71  		                   0                    0                    0                    0                    0                    0                    0  		              4118.8    79.73121513350969                 3931                 4134                 4217                 4090                 4168  		              3200.2    22.95793254337168                 3161                 3206                 3237                 3186                 3212  		
STATISTIC 17          111.99625790213243    2.341019993247017   108.98773004873071   111.38030605104765   116.41293081410282   110.28242167064369   112.82824447555582  		                  31                    0                   31                   31                   31                   31                   31  		                70.7   2.1108186931983037                   68                   70                   75                   69                   72  		                   0                    0                    0                    0                    0                    0                    0  		                4169    75.14430561703706                 3994                 4181                 4264                 4137                 4215  		              3421.7   24.720886355904796                 3386                 3429                 3459                 3397                 3441  		
STATISTIC 18          113.25994401115813    2.272227086973508   109.20171107167758   112.91543979546097   116.41293081410282   112.18772566726325    115.2559948312959  		                  33                    0                   33                   33                   33                   33                   33  		                70.2    4.491968140779453                   65                   69                   79                   66                   73  		                   0                    0                    0                    0                    0                    0                    0  		              4368.8    79.73121513350969                 4181                 4384                 4467                 4340                 4418  		              3649.2   25.275372290903693                 3612                 3658                 3680                 3631                 3670  		
