Time - simulation
;MEAN ;STD ;MIN ;MEDIAN ;MAX ;Q1 ;Q3 ;
MuGA-64;31843,310000 ; 162,169490 ; 31624,000000 ; 31858,000000 ; 32187,000000 ; 31640,000000 ; 31984,000000 ; 
SGA-64;31380,530000 ; 282,098609 ; 30531,000000 ; 31515,000000 ; 31890,000000 ; 31187,000000 ; 31531,000000 ; 
SGA-128;31175,440000 ; 143,824200 ; 30936,000000 ; 31108,000000 ; 31389,000000 ; 31061,000000 ; 31327,000000 ; 

Comparison of means - confidence 95% 

 ; MuGA-64; SGA-64; SGA-128; Score ; Rank
MuGA-64; .; -; -; -2;3
SGA-64; +; .; -; 0;2
SGA-128; +; +; .; 2;1

DATA
Time ; MuGA-64 ; SGA-64 ; SGA-128
Solver 85 ; 31733,000000 ; 31530,000000 ; 31343,000000
Solver 86 ; 31874,000000 ; 31530,000000 ; 31343,000000
Solver 87 ; 31733,000000 ; 31530,000000 ; 31343,000000
Solver 88 ; 31874,000000 ; 31546,000000 ; 31359,000000
Solver 89 ; 31765,000000 ; 31546,000000 ; 31343,000000
Solver 90 ; 31874,000000 ; 31546,000000 ; 31358,000000
Solver 91 ; 31765,000000 ; 31546,000000 ; 31358,000000
Solver 92 ; 31874,000000 ; 31546,000000 ; 31358,000000
Solver 93 ; 31765,000000 ; 31546,000000 ; 31358,000000
Solver 94 ; 31859,000000 ; 31531,000000 ; 31374,000000
Solver 95 ; 31765,000000 ; 31546,000000 ; 31374,000000
Solver 96 ; 31859,000000 ; 31546,000000 ; 31389,000000
Solver 97 ; 31765,000000 ; 31546,000000 ; 31389,000000
Solver 98 ; 31875,000000 ; 31546,000000 ; 31389,000000
Solver 99 ; 31765,000000 ; 31546,000000 ; 31389,000000
