AVG                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                               100               120.33                    1             31843.31              9973.98
SGA-64                                100                   64                    1             31380.53             11113.95
SGA-128                               100                  128                    1             31175.44             11114.41

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
STD                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                                 0   4.4586880346016615                    0   162.16948952662818    93.00895796974082
SGA-64                                  0                    0                    0    282.0986092726661    40.70821896016935
SGA-128                                 0                    0                    0   143.82419964677098    43.47647570122645

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                   GENERATION                                    
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Generation                        MuGA-64               SGA-64              SGA-128 
              SGA-64                  100                    0                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100
             SGA-128                  100                    0                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100                  100


Generation : Compare Means  using Student's t-test
   Confidence 95%      0    1    2  Score Rank     Confidence 99%      0    1    2  Score Rank        p-Values          0      1      2  
             MuGA-64   .    .    .    0     1                MuGA-64   .    .    .    0     1                MuGA-64    NaN    NaN    NaN
              SGA-64   .    .    .    0     1                 SGA-64   .    .    .    0     1                 SGA-64    NaN    NaN    NaN
             SGA-128   .    .    .    0     1                SGA-128   .    .    .    0     1                SGA-128    NaN    NaN    NaN


#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                   INDIVIDUALS                                   
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Individuals                       MuGA-64               SGA-64              SGA-128 
                Mean               120.33                   64                  128 
                 Std   4.4586880346016615                    0                    0 
             Minimum                  107                   64                  128 
              Median                  121                   64                  128 
             Maximum                  129                   64                  128 

            Solver 0                  120                   64                  128 
            Solver 1                  125                   64                  128 
            Solver 2                  127                   64                  128 
            Solver 3                  115                   64                  128 
            Solver 4                  114                   64                  128 
            Solver 5                  110                   64                  128 
            Solver 6                  116                   64                  128 
            Solver 7                  117                   64                  128 
            Solver 8                  119                   64                  128 
            Solver 9                  119                   64                  128 
           Solver 10                  123                   64                  128 
           Solver 11                  126                   64                  128 
           Solver 12                  126                   64                  128 
           Solver 13                  121                   64                  128 
           Solver 14                  121                   64                  128 
           Solver 15                  128                   64                  128 
           Solver 16                  120                   64                  128 
           Solver 17                  117                   64                  128 
           Solver 18                  119                   64                  128 
           Solver 19                  121                   64                  128 
           Solver 20                  120                   64                  128 
           Solver 21                  119                   64                  128 
           Solver 22                  121                   64                  128 
           Solver 23                  119                   64                  128 
           Solver 24                  114                   64                  128 
           Solver 25                  119                   64                  128 
           Solver 26                  122                   64                  128 
           Solver 27                  123                   64                  128 
           Solver 28                  129                   64                  128 
           Solver 29                  121                   64                  128 
           Solver 30                  121                   64                  128 
           Solver 31                  126                   64                  128 
           Solver 32                  116                   64                  128 
           Solver 33                  108                   64                  128 
           Solver 34                  124                   64                  128 
           Solver 35                  126                   64                  128 
           Solver 36                  117                   64                  128 
           Solver 37                  112                   64                  128 
           Solver 38                  115                   64                  128 
           Solver 39                  120                   64                  128 
           Solver 40                  120                   64                  128 
           Solver 41                  119                   64                  128 
           Solver 42                  122                   64                  128 
           Solver 43                  119                   64                  128 
           Solver 44                  122                   64                  128 
           Solver 45                  117                   64                  128 
           Solver 46                  118                   64                  128 
           Solver 47                  109                   64                  128 
           Solver 48                  122                   64                  128 
           Solver 49                  122                   64                  128 
           Solver 50                  127                   64                  128 
           Solver 51                  127                   64                  128 
           Solver 52                  123                   64                  128 
           Solver 53                  121                   64                  128 
           Solver 54                  124                   64                  128 
           Solver 55                  122                   64                  128 
           Solver 56                  124                   64                  128 
           Solver 57                  121                   64                  128 
           Solver 58                  119                   64                  128 
           Solver 59                  125                   64                  128 
           Solver 60                  122                   64                  128 
           Solver 61                  128                   64                  128 
           Solver 62                  124                   64                  128 
           Solver 63                  117                   64                  128 
           Solver 64                  120                   64                  128 
           Solver 65                  124                   64                  128 
           Solver 66                  122                   64                  128 
           Solver 67                  123                   64                  128 
           Solver 68                  113                   64                  128 
           Solver 69                  115                   64                  128 
           Solver 70                  126                   64                  128 
           Solver 71                  121                   64                  128 
           Solver 72                  120                   64                  128 
           Solver 73                  117                   64                  128 
           Solver 74                  125                   64                  128 
           Solver 75                  119                   64                  128 
           Solver 76                  117                   64                  128 
           Solver 77                  123                   64                  128 
           Solver 78                  121                   64                  128 
           Solver 79                  125                   64                  128 
           Solver 80                  122                   64                  128 
           Solver 81                  125                   64                  128 
           Solver 82                  107                   64                  128 
           Solver 83                  121                   64                  128 
           Solver 84                  117                   64                  128 
           Solver 85                  122                   64                  128 
           Solver 86                  116                   64                  128 
           Solver 87                  126                   64                  128 
           Solver 88                  121                   64                  128 
           Solver 89                  120                   64                  128 
           Solver 90                  121                   64                  128 
           Solver 91                  124                   64                  128 
           Solver 92                  117                   64                  128 
           Solver 93                  115                   64                  128 
           Solver 94                  124                   64                  128 
           Solver 95                  124                   64                  128 
           Solver 96                  123                   64                  128 
           Solver 97                  113                   64                  128 
           Solver 98                  114                   64                  128 
