Statistic ; Generation ; Individuals ; SucessRate ; Time ; FunctionCalls
0 ; 0,000000 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 1,000000 ; 64,000000 ; 0,000000 ; 0,000000 ; 109,000000 ; 
2 ; 2,000000 ; 64,000000 ; 0,000000 ; 1094,000000 ; 214,000000 ; 
3 ; 3,000000 ; 64,000000 ; 0,000000 ; 1625,000000 ; 334,000000 ; 
4 ; 4,000000 ; 64,000000 ; 0,000000 ; 2296,000000 ; 447,000000 ; 
5 ; 5,000000 ; 64,000000 ; 0,000000 ; 2813,000000 ; 565,000000 ; 
6 ; 6,000000 ; 64,000000 ; 0,000000 ; 3117,000000 ; 681,000000 ; 
7 ; 7,000000 ; 64,000000 ; 0,000000 ; 3320,000000 ; 794,000000 ; 
8 ; 8,000000 ; 64,000000 ; 0,000000 ; 3825,000000 ; 900,000000 ; 
9 ; 9,000000 ; 64,000000 ; 0,000000 ; 4215,000000 ; 1015,000000 ; 
10 ; 10,000000 ; 64,000000 ; 0,000000 ; 4434,000000 ; 1131,000000 ; 
11 ; 11,000000 ; 64,000000 ; 0,000000 ; 4606,000000 ; 1239,000000 ; 
12 ; 12,000000 ; 64,000000 ; 0,000000 ; 5246,000000 ; 1356,000000 ; 
13 ; 13,000000 ; 64,000000 ; 0,000000 ; 5543,000000 ; 1465,000000 ; 
14 ; 14,000000 ; 64,000000 ; 0,000000 ; 5746,000000 ; 1574,000000 ; 
15 ; 15,000000 ; 64,000000 ; 0,000000 ; 5871,000000 ; 1686,000000 ; 
16 ; 16,000000 ; 64,000000 ; 0,000000 ; 6199,000000 ; 1801,000000 ; 
17 ; 17,000000 ; 64,000000 ; 0,000000 ; 6618,000000 ; 1909,000000 ; 
18 ; 18,000000 ; 64,000000 ; 0,000000 ; 6790,000000 ; 2020,000000 ; 
19 ; 19,000000 ; 64,000000 ; 0,000000 ; 7254,000000 ; 2124,000000 ; 
