Statistic ; BestFitness ; Generation ; GeneticDiversity ; Individuals ; SelectedGenotypes ; SelectedIndividuals ; SucessRate ; Time ; FunctionCalls
0 ; 8,000000 ; 0,000000 ; 0,987965 ; 64,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 0,000000 ; 
1 ; 16,000000 ; 3,000000 ; 0,929810 ; 73,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 597,000000 ; 333,000000 ; 
2 ; 16,000000 ; 6,000000 ; 0,830598 ; 65,000000 ; 46,000000 ; 128,000000 ; 0,000000 ; 1144,000000 ; 677,000000 ; 
3 ; 24,000000 ; 9,000000 ; 0,810275 ; 66,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 1935,000000 ; 1016,000000 ; 
4 ; 24,000000 ; 12,000000 ; 0,744452 ; 67,000000 ; 47,000000 ; 128,000000 ; 0,000000 ; 2470,000000 ; 1346,000000 ; 
5 ; 32,000000 ; 16,000000 ; 0,659508 ; 72,000000 ; 47,000000 ; 128,000000 ; 0,000000 ; 2951,000000 ; 1783,000000 ; 
6 ; 40,000000 ; 19,000000 ; 0,620382 ; 67,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 3359,000000 ; 2116,000000 ; 
7 ; 32,000000 ; 22,000000 ; 0,543596 ; 69,000000 ; 51,000000 ; 128,000000 ; 0,000000 ; 3703,000000 ; 2455,000000 ; 
8 ; 32,000000 ; 25,000000 ; 0,371289 ; 70,000000 ; 48,000000 ; 128,000000 ; 0,000000 ; 3969,000000 ; 2783,000000 ; 
9 ; 40,000000 ; 28,000000 ; 0,377230 ; 69,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 4198,000000 ; 3124,000000 ; 
10 ; 48,000000 ; 32,000000 ; 0,348900 ; 73,000000 ; 45,000000 ; 128,000000 ; 0,000000 ; 4530,000000 ; 3548,000000 ; 
11 ; 48,000000 ; 35,000000 ; 0,320200 ; 69,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 4718,000000 ; 3880,000000 ; 
12 ; 48,000000 ; 38,000000 ; 0,281723 ; 69,000000 ; 45,000000 ; 128,000000 ; 0,000000 ; 4905,000000 ; 4214,000000 ; 
13 ; 56,000000 ; 41,000000 ; 0,265457 ; 68,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 5082,000000 ; 4537,000000 ; 
14 ; 56,000000 ; 44,000000 ; 0,290613 ; 75,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 5253,000000 ; 4857,000000 ; 
15 ; 64,000000 ; 48,000000 ; 0,285095 ; 71,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 5472,000000 ; 5304,000000 ; 
16 ; 64,000000 ; 51,000000 ; 0,245500 ; 67,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 5628,000000 ; 5650,000000 ; 
17 ; 64,000000 ; 54,000000 ; 0,220083 ; 73,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 5800,000000 ; 5968,000000 ; 
18 ; 64,000000 ; 57,000000 ; 0,213243 ; 71,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 5925,000000 ; 6298,000000 ; 
19 ; 64,000000 ; 61,000000 ; 0,209112 ; 66,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 6119,000000 ; 6730,000000 ; 
20 ; 64,000000 ; 64,000000 ; 0,214944 ; 68,000000 ; 61,000000 ; 128,000000 ; 0,000000 ; 6275,000000 ; 7062,000000 ; 
21 ; 64,000000 ; 67,000000 ; 0,224372 ; 69,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 6432,000000 ; 7389,000000 ; 
22 ; 64,000000 ; 70,000000 ; 0,227585 ; 68,000000 ; 56,000000 ; 128,000000 ; 0,000000 ; 6572,000000 ; 7731,000000 ; 
23 ; 64,000000 ; 73,000000 ; 0,219120 ; 70,000000 ; 54,000000 ; 128,000000 ; 0,000000 ; 6729,000000 ; 8062,000000 ; 
24 ; 64,000000 ; 77,000000 ; 0,228335 ; 69,000000 ; 55,000000 ; 128,000000 ; 0,000000 ; 6932,000000 ; 8512,000000 ; 
25 ; 72,000000 ; 80,000000 ; 0,245744 ; 70,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 7135,000000 ; 8834,000000 ; 
26 ; 72,000000 ; 83,000000 ; 0,240954 ; 74,000000 ; 53,000000 ; 128,000000 ; 0,000000 ; 7260,000000 ; 9164,000000 ; 
27 ; 72,000000 ; 86,000000 ; 0,237642 ; 69,000000 ; 52,000000 ; 128,000000 ; 0,000000 ; 7400,000000 ; 9501,000000 ; 
28 ; 72,000000 ; 89,000000 ; 0,206514 ; 70,000000 ; 50,000000 ; 128,000000 ; 0,000000 ; 7541,000000 ; 9835,000000 ; 
